Nama Barang,Dari Satuan,Ke Satuan Final,Multiplier
BESEK,BAL,KODI,18
BESEK TELOR CEPER,PCS,KODI,"0,05"
BESEK TELUR TEBAL,BAL,KODI,18
BOTOL ALMOND 250ML,BAL,PCS,100
BOTOL CABE 200ML,BAL,PCS,100
CREAMER NDC DONGXIAO 250 GR,GRAM,KG,"0,25"
CREAMER NDC DONGXIAO 500 GR,GRAM,KG,"0,5"
DELMONTE TOMATO STANDING POUCH 1 KG,DUS,PACK,10
DM R 300 ML,DUS,PACK,20
DM R 300 ML,PCS,PACK,"0,04"
DM RECT 1000 ML,PCS,PACK,"0,04"
DM RECT 500 ML,DUS,PACK,20
DM RECT 500 ML,PCS,PACK,"0,04"
DM RECT 650 ML,PCS,PACK,"0,04"
DM RECT 750 ML,PCS,PACK,"0,04"
DM SQ 2000 ML,DUS,PCS,150
DM SQ 2000 ML,PACK,PCS,25
DM SQ 3000 ML,DUS,PCS,150
DM SQ 3000 ML,PACK,PCS,25
EURO GOURMET EXTRA PEDAS 1 KG,DUS,PACK,12
FOAM KCS 1,BAL,PCS,200
FOAM KCS 2,KOLI,BAL,10
FOAM KCS 2,PCS,BAL,"0,01"
FOAM KCS 3,PCS,BAL,"0,01"
GELAS GADING 16 OZ,DUS,PACK,20
GELAS HOK 18 OZ SLIM,DUS,PACK,40
GELAS SLIM 'TEN-TEN' 18 OZ,DUS,PACK,40
GELAS SLIM 'TEN-TEN' 22 OZ,DUS,PACK,40
GELAS TECHNO 14 OZ,DUS,PACK,40
GELAS TECHNO 16 OZ,DUS,PACK,40
GELAS TENTEN 16 OZ,DUS,PACK,40
GELAS UNIVERSAL 18 OZ - DATAR,DUS,PACK,20
GELAS UNIVERSAL 22 OZ,DUS,PACK,20
HD ASOY 1 CUP - KHARISMA,IKAT,PACK,10
HD DAYANA ORANGE 15,IKAT,PACK,5
HD DAYANA ORANGE 24,IKAT,PACK,5
HD FAMILY 28 - PUTIH SUSU,IKAT,PACK,5
HD GARDA 15,BAL,PACK,50
HD GARDA 15,IKAT,PACK,2
HD KALONG 28,IKAT,PACK,5
HD KALONG 35,IKAT,PACK,5
HD KALONG 40,IKAT,PACK,5
HD SAMPAH FAMILY 60 X 100,BAL,PACK,25
HD SAMPAH FAMILY 60 X 100,IKAT,PACK,5
HD SAMPAH FAMILY 60 X 100,PCS,PACK,"0,06"
HD SNIPER 17 - PUTIH SUSU,BAL,PACK,50
HD SNIPER 17 - PUTIH SUSU,IKAT,PACK,5
HD TROYA 15,IKAT,PACK,5
HD TROYA 24,IKAT,PACK,5
HDPE ATP TIGER - 15 X 30,PACK,KEPING,4
JOLLY KULINER,BAL,PACK,10
KARET SMILE - KUNING - 10 PACK,PACK,PACK,10
KARET SMILE - MERAH - 10 PACK,PACK,PACK,10
KEJU WINCHEEZ REG 250GR,SLOP,PACK,8
KERTAS KFC GAJAH,DUS,PACK,50
KERTAS CAP GAJAH UNGU,IKAT,PACK,5
KERTAS FAMILY HITAM,IKAT,PACK,5
KERTAS KFC GAJAH,DUS,PACK,50
KERTAS LEGENDA PINK,IKAT,PACK,5
KERTAS PADANG,IKAT,ROLL,10
KLIR SAUCE 25 ML,DUS,PACK,40
KOTAK ASHELY POLOS 12 X 12,IKAT,PACK,5
KOTAK GS POLOS 12 X 12,IKAT,PACK,5
KOTAK GS POLOS 12 X 12,PCS,PACK,"0,01"
KOTAK GS POLOS 18 X 18,BAL,PACK,5
KOTAK GS POLOS 18 X 18,PCS,PACK,"0,01"
KOTAK LEZAT ENAK 12 X 16,PCS,PACK,"0,01"
"KOTAK LEZAT ENAK 21 X 13,5",PCS,PACK,"0,01"
KOTAK LM HIJAU 12 X 12,IKAT,PACK,5
KOTAK LM HIJAU 12 X 12,PCS,PACK,"0,01"
KOTAK LM HIJAU 15 X 15,IKAT,PCS,500
KOTAK LM HIJAU 15 X 15,PACK,PCS,100
KOTAK PUTIH POLOS 18 X 18 - OLIN,BAL,PACK,5
KOTAK PUTIH POLOS 18 X 18 - OLIN,PCS,PACK,"0,01"
KRAFT UFE LM 12 X 12,IKAT,PACK,5
KRAFT UFE LM 12 X 12,PCS,PACK,"0,01"
KRAFTBOX DELIMA 11 X 15,DUS,PACK,20
KRAFTBOX DELIMA 11 X 15,PCS,PACK,"0,02"
KRAFTBOX DELIMA 18 X 18,DUS,PACK,10
KRAFTBOX DELIMA 18 X 18,PCS,PACK,"0,02"
KRAFTBOX OLIN LEAF 12 X 12,BAL,PACK,10
KRAFTBOX OLIN LEAF 12 X 12,IKAT,PACK,5
KRAFTBOX OLIN LEAF 12 X 12,PCS,PACK,"0,01"
LID TUTUP 360/500 ML,PACK,DUS,"0,05"
LID TUTUP 650/800 ML,PACK,DUS,"0,05"
LUNCHBOX OKEY L,PACK,PCS,100
LUNCHBOX OKEY M,DUS,PCS,600
LUNCHBOX OKEY M,PACK,PCS,100
MAMAYO ORIGINAL - 1 KG,DUS,PACK,12
MIKA BOLU TX - 16 TECHNO,DUS,PACK,10
MIKA BOLU TX - 16 TECHNO,PCS,PACK,"0,02"
MIKA BOLU TX - 18 TECHNO,DUS,PACK,10
MIKA BOLU TX - 18 TECHNO,PCS,PACK,"0,02"
MIKA BROWNIES L TECHNO - PET,DUS,PACK,4
MIKA BROWNIES L TECHNO - PET,PCS,PACK,"0,02"
MIKA BROWNIES M TECHNO - PET,PCS,PACK,"0,02"
MIKA CHIFON BULAT T-18 ORIPACK,DUS,PACK,10
MIKA CHIFON BULAT T-18 ORIPACK,PCS,PACK,"0,02"
MIKA SEKAT T18 ORIPACK,DUS,PACK,30
NESTO PAPER BOWL 360 ML,DUS,PACK,20
NESTO PAPER BOWL 500 ML,DUS,PACK,20
NESTO PAPER BOWL 650 ML,DUS,PACK,20
NESTO PAPER BOWL 650 ML - KRAFT,DUS,PACK,20
NESTO PAPER BOWL 800 ML,DUS,PACK,20
NESTO PAPER BOWL 800 ML - KRAFT,DUS,PACK,20
NS SAUCE 25 ML,DUS,PACK,50
OPP KHARISMA - 10 X 10,IKAT,PACK,10
ORIPACK NPN S,PACK,PCS,50
ORIPACK NPN S - 10 PCS,PACK,PCS,10
"PAPER CUP 6,5 OZ",DUS,PACK,20
PAPER CUP 8 OZ,DUS,PACK,20
PE 55 - 10 X 20,PACK,KEPING,5
PE 55 - 12 X 25,PACK,KEPING,5
PE 55 - 15 X 30,PACK,KEPING,5
PE 55 - 20 X 35,PACK,KEPING,5
PE 55 - 4 X 23,PACK,PCS,5
PE 55 - 9 X 20,PACK,KEPING,5
PE 5PE5 - 10 X 20,PACK,KEPING,5
PE 5PE5 - 12 X 25,PACK,KEPING,5
PE 5PE5 - 15 X 30,PACK,KEPING,5
PE CLIP C-TIK - 5 X 8,KG,KEPING,25
PE CLIP C-TIK - 5 X 8,PACK,KEPING,5
PE CLIP C-TIK - 7 X 10,PACK,KEPING,5
PE TOMAT - 50 X 75 - 1 PACK,KEPING,IKAT,"0,16"
PE TOMAT - 50 X 75 - 2 PACK,KG,IKAT,"0,33"
PP MATAHARI 40 X 60,KEPING,PACK,"0,5"
PP MATAHARI 8 X 12,PACK,KEPING,4
PP MATAHARI 9 X 15,PACK,KEPING,4
PP TAHU CAP TIGA KUDA - 8 X 20,KEPING,IKAT,"0,1"
SEDOTAN BENGKOK - ALPOKAT,DUS,PACK,10
SEDOTAN BENGKOK - ALPOKAT,PCS,PACK,"0,04"
SEDOTAN POP ICE,BAL,PACK,16
TALI RAFIA BOLA SINGA,BAL,ROLL,10
TALI RAFIA MG BIRU,BAL,ROLL,10
TOPLES TABUNG 1000 ML - TEBAL,BAL,PCS,60
TOPLES TABUNG 600 ML,BAL,PCS,35
TOPLES TABUNG 600 ML ISI 35,BAL,PCS,35
TOPLES TABUNG 600 ML ISI 50,BAL,PCS,50
TOPLES TABUNG 800 ML - TEBAL,BAL,PCS,60
TUSUK SATE SWAN,DUS,PACK,60
TUTUP CEMBUNG POLOS,DUS,PACK,40
TUTUP CEMBUNG ULIR,DUS,PACK,40
